"EMS_ID","MONITORING_LOCATION","COLLECTION_START","PARAMETER","RESULT_LETTER","RESULT","SAMPLE_CLASS","UPPER_DEPTH","LOWER_DEPTH"
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"pH",NA,7.8,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Turbidity",NA,0.29,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Extinction Depth",NA,11.1,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Alkalinity Total 4.5",NA,40.4,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Carbon Total Organic",NA,2.8,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Hardness Total (Total)",NA,45.1478,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen Ammonia Total",NA,0.001,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen NO2 + NO3",NA,0.075,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen Organic-Total",NA,0.107,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen Kjel.Tot(N)",NA,0.108,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen Total",NA,0.183,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Chlorophyll A",NA,0.00132,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Chlorophyll A",NA,0.00128,"Replicate",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Chloride Dissolved",NA,0.68,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Hardness (Dissolved)",NA,45.2,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen Ammonia Dissolved","<",0.005,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrate(NO3) + Nitrite(NO2) Dissolved",NA,0.0743,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrate (NO3) Dissolved",NA,0.0743,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen - Nitrite Dissolved (NO2)","<",0.001,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen (Kjeldahl) Total Dissolved",NA,0.0827,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nitrogen Total Dissolved",NA,0.157,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Phosphorus Ort.Dis-P","<",0.001,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Silica Reactive Diss",NA,6.13,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Sulfate Dissolved",NA,5.76,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Silver Total","<",5e-06,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Aluminum Total",NA,0.00953,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Arsenic Total",NA,0.00011,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Boron Total","<",0.005,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Barium Total",NA,0.0104,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Beryllium Total","<",1e-05,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Bismuth Total","<",5e-06,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Calcium Total",NA,14.7,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Cadmium Total","<",5e-06,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Cobalt Total",NA,1.42e-05,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Chromium Total","<",1e-04,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Copper Total",NA,0.000449,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Iron Total",NA,0.0121,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Potassium Total",NA,0.883,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Lithium Total",NA,0.00054,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Magnesium Total",NA,2.05,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Manganese Total",NA,0.00181,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Molybdenum Total",NA,0.000555,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Sodium Total",NA,1.53,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Nickel Total",NA,0.00027,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Phosphorus Total Dissolved","<",0.002,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Phosphorus Total",NA,0.0021,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Lead Total",NA,2.12e-05,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Antimony Total","<",2e-05,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Selenium Total",NA,0.00016,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Silicon Total",NA,4,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Tin Total","<",1e-05,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Strontium Total",NA,0.0862,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Temperature-Field",NA,6.61,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Thallium Total",NA,2.2e-06,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Uranium Total",NA,0.000298,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Vanadium Total","<",2e-04,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 13:55:00,"Zinc Total",NA,0.00088,"Regular",0.5,10
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"pH",NA,7.89,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Alkalinity Total 4.5",NA,44,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Carbon Total Organic",NA,2.19,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Hardness Total (Total)",NA,43.4306,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen Ammonia Total",NA,0.003,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen NO2 + NO3",NA,0.082,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen Organic-Total",NA,0.11,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen Kjel.Tot(N)",NA,0.113,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen Total",NA,0.195,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Chloride Dissolved",NA,0.6,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Hardness (Dissolved)",NA,43.4,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen Ammonia Dissolved","<",0.005,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrate(NO3) + Nitrite(NO2) Dissolved",NA,0.0821,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrate (NO3) Dissolved",NA,0.0821,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen - Nitrite Dissolved (NO2)","<",0.001,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen (Kjeldahl) Total Dissolved",NA,0.1229,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Nitrogen Total Dissolved",NA,0.205,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Phosphorus Ort.Dis-P","<",0.001,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Silica Reactive Diss",NA,7,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Sulfate Dissolved",NA,6.06,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Calcium Total",NA,13.6,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Magnesium Total",NA,2.3,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Phosphorus Total Dissolved","<",0.002,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-04-26 14:10:00,"Phosphorus Total",NA,0.0043,"Regular",84,96
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"pH",NA,7.73,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Turbidity",NA,0.33,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Extinction Depth",NA,9,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Alkalinity Total 4.5",NA,36.1,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Carbon Total Organic",NA,2.25,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Hardness Total (Total)",NA,38.29808,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen Ammonia Total",NA,0.002,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen NO2 + NO3",NA,0.018,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen Organic-Total",NA,0.081,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen Kjel.Tot(N)",NA,0.083,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen Total",NA,0.101,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Chlorophyll A",NA,0.00119,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Chlorophyll A",NA,0.00118,"Replicate",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Chloride Dissolved",NA,0.56,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Hardness (Dissolved)",NA,38.4,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen Ammonia Dissolved","<",0.005,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrate(NO3) + Nitrite(NO2) Dissolved",NA,0.0176,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrate (NO3) Dissolved",NA,0.0176,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen - Nitrite Dissolved (NO2)","<",0.001,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen (Kjeldahl) Total Dissolved",NA,0.0674,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nitrogen Total Dissolved",NA,0.085,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Phosphorus Ort.Dis-P","<",0.001,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Sulfate Dissolved",NA,5.49,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Silver Total","<",5e-06,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Aluminum Total",NA,0.0117,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Arsenic Total",NA,9.3e-05,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Boron Total","<",0.005,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Barium Total",NA,0.0111,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Beryllium Total","<",1e-05,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Bismuth Total","<",5e-06,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Calcium Total",NA,12.6,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Cadmium Total","<",5e-06,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Cobalt Total",NA,1.26e-05,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Chromium Total","<",1e-04,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Copper Total",NA,0.000491,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Dissolved Oxygen-Field",NA,11.16,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Iron Total",NA,0.0111,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Potassium Total",NA,0.808,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Lithium Total",NA,0.00082,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Magnesium Total",NA,1.66,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Manganese Total",NA,0.00232,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Molybdenum Total",NA,0.000596,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Sodium Total",NA,1.24,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Nickel Total",NA,0.000316,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Phosphorus Total Dissolved","<",0.002,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Phosphorus Total",NA,0.0047,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Lead Total",NA,1.66e-05,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Antimony Total","<",2e-05,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Specific Conductivity-Field",NA,83,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Selenium Total",NA,0.000111,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Silicon Total",NA,2.95,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Tin Total","<",1e-05,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Strontium Total",NA,0.0696,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Temperature-Field",NA,10.36,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Thallium Total",NA,2.8e-06,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Turbidity-Field",NA,0,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Uranium Total",NA,0.000289,"Regular",0.5,16
