"EMS_ID","MONITORING_LOCATION","COLLECTION_START","PARAMETER","RESULT_LETTER","RESULT","SAMPLE_CLASS","UPPER_DEPTH","LOWER_DEPTH"
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Vanadium Total","<",2e-04,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:15:00,"Zinc Total",NA,0.00194,"Regular",0.5,16
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"pH",NA,7.71,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Turbidity",NA,2.36,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Alkalinity Total 4.5",NA,38.3,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Carbon Total Organic",NA,1.97,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Hardness Total (Total)",NA,40.4911,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen Ammonia Total",NA,0.003,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen NO2 + NO3",NA,0.076,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen Organic-Total",NA,0.082,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen Kjel.Tot(N)",NA,0.085,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen Total",NA,0.161,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Chloride Dissolved",NA,0.63,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Hardness (Dissolved)",NA,40.6,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen Ammonia Dissolved","<",0.005,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrate(NO3) + Nitrite(NO2) Dissolved",NA,0.0758,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrate (NO3) Dissolved",NA,0.0758,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen - Nitrite Dissolved (NO2)","<",0.001,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen (Kjeldahl) Total Dissolved",NA,0.0612,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nitrogen Total Dissolved",NA,0.137,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Phosphorus Ort.Dis-P","<",0.001,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Sulfate Dissolved",NA,5.72,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Silver Total","<",5e-06,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Aluminum Total",NA,0.0603,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Arsenic Total",NA,0.000128,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Boron Total","<",0.005,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Barium Total",NA,0.0123,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Beryllium Total","<",1e-05,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Bismuth Total","<",5e-06,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Calcium Total",NA,13,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Cadmium Total","<",5e-06,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Cobalt Total",NA,7.33e-05,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Chromium Total",NA,0.00027,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Copper Total",NA,0.00057,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Iron Total",NA,0.154,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Potassium Total",NA,0.851,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Lithium Total",NA,0.00066,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Magnesium Total",NA,1.95,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Manganese Total",NA,0.0287,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Molybdenum Total",NA,0.000562,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Sodium Total",NA,1.43,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Nickel Total",NA,0.00039,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Phosphorus Total Dissolved","<",0.002,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Phosphorus Total",NA,0.0107,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Lead Total",NA,0.000123,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Antimony Total","<",2e-05,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Selenium Total",NA,0.000126,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Silicon Total",NA,3.45,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Tin Total","<",1e-05,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Strontium Total",NA,0.0737,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Thallium Total",NA,3.8e-06,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Uranium Total",NA,0.000296,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Vanadium Total",NA,0.00033,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2017-10-31 13:30:00,"Zinc Total",NA,0.00107,"Regular",86,94
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"pH",NA,7.81,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Turbidity",NA,0.62,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Extinction Depth",NA,10.5,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Alkalinity Total 4.5",NA,41.5,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Carbon Total Organic",NA,2.11,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Hardness Total (Total)",NA,40.60678,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Nitrogen Ammonia Total","<",0.005,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Nitrogen NO2 + NO3",NA,0.07,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Nitrogen Organic-Total",NA,0.059,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Nitrogen Kjel.Tot(N)",NA,0.062,"Regular",0.5,8
"0500123","SHUSWAP LK WEST OF SORRENTO",2018-05-03 11:20:00,"Nitrogen Total",NA,0.132,"Regular",0.5,8
